timestamp,model_name,num_samples,accuracy,precision,recall,f1_score
20250912_150321,Qwen_Qwen3-4B-Instruct-2507_120,120,0.5000,0.5000,1.0000,0.6667
20250912_151840,Qwen_Qwen3-4B-Instruct-2507_120,120,0.4917,0.4958,0.9833,0.6592
20250912_154625,meta-llama_Llama-3.2-3B-Instruct_120,120,0.5500,0.5938,0.3167,0.4130
20250912_173052,Intelligent-Internet_II-Medical-8B_120,120,0.5583,0.8889,0.1333,0.2319
20250912_182105,Qwen_Qwen3-8B_120,120,0.5167,0.6667,0.0667,0.1212
20250912_201348,google_medgemma-4b-it_120,120,0.5333,0.5179,0.9667,0.6744
20250915_143422,Qwen_Qwen3-4B-Instruct-2507_100,100,0.6800,0.8276,0.4706,0.6000
20250915_144145,meta-llama_Llama-3.2-3B-Instruct_100,100,0.4900,0.5000,0.1176,0.1905
20250915_144927,google_gemma-3-4b-it_100,100,0.5200,0.5238,0.6471,0.5789
20250915_145924,google_medgemma-4b-it_100,100,0.5300,0.8333,0.0980,0.1754
20250915_153513,meta-llama_Llama-3.1-8B-Instruct_100,100,0.5300,0.6000,0.2353,0.3380
20250915_160154,Qwen_Qwen3-8B_100,100,0.5700,0.8333,0.1961,0.3175
20250915_163013,Intelligent-Internet_II-Medical-8B_100,100,0.5400,1.0000,0.0980,0.1786
